"mz","time","PeakID","Module_RTclust"
1021.61825,362.9,"Peak9481","50_22"
1021.69845,410.7,"Peak9482","45_30"
1021.7725,39.7,"Peak9483","18_1"
1022.12739,399.4,"Peak9485","17_29"
1022.21074,38.3,"Peak9486","33_1"
1022.27249,39.4,"Peak9487","22_1"
1022.30954,467.5,"Peak9488","3_34"
1022.52572,523.6,"Peak9490","50_36"
1022.62456,363.4,"Peak9492","17_26"
1022.7296,37.5,"Peak9493","29_1"
1022.90264,507.5,"Peak9494","45_38"
1023.02627,513.5,"Peak9495","47_29"
1023.23648,508,"Peak9497","50_35"
1023.49625,576.6,"Peak9499","4_43"
1023.62617,363.1,"Peak9500","50_22"
1023.73137,40.1,"Peak9501","30_1"
1023.90466,501.2,"Peak9503","3_37"
1024.20184,38.2,"Peak9505","3_1"
1024.64165,375,"Peak9508","47_20"
1024.77799,39.6,"Peak9509","3_1"
1025.08795,444.3,"Peak9512","47_26"
1025.13756,42.4,"Peak9513","3_1"
1025.21817,505.2,"Peak9514","40_36"
1025.27399,37.8,"Peak9515","3_1"
1025.42286,510.4,"Peak9516","47_29"
1025.65243,381.6,"Peak9518","17_28"
1025.78277,39.6,"Peak9519","24_1"
1026.28571,37.7,"Peak9521","42_1"
1026.42238,509,"Peak9522","47_29"
1026.50936,38.7,"Peak9523","27_1"
1026.59635,40.4,"Peak9524","19_1"
1026.6585,379.3,"Peak9525","17_28"
1026.75173,38.4,"Peak9526","19_1"
1027.41713,507.3,"Peak9528","36_34"
1027.57269,361.1,"Peak9529","39_34"
1027.67227,380.6,"Peak9530","33_27"
1027.74696,37.8,"Peak9531","36_1"
1027.91505,436.1,"Peak9532","47_26"
1028.16415,420.7,"Peak9534","19_29"
1028.25135,37.4,"Peak9535","7_1"
1028.25135,440,"Peak9535","43_44"
1028.57535,361.2,"Peak9538","19_25"
1028.67196,391.3,"Peak9539","47_22"
1028.79352,38.2,"Peak9540","40_1"
1028.86833,534.7,"Peak9541","17_40"
1029.03046,580.1,"Peak9542","4_43"
1029.29244,36.9,"Peak9544","45_1"
1029.62317,394.2,"Peak9546","50_25"
1029.7605,38.1,"Peak9550","30_1"
103.05365,52.9,"Peak75","40_1"
103.07474,81.6,"Peak76","19_4"
103.09402,257.5,"Peak77","3_16"
103.13047,257.3,"Peak78","3_16"
1030.26013,37.2,"Peak9552","27_1"
1030.46008,38.7,"Peak9553","47_1"
1030.62884,392.8,"Peak9554","17_29"
1030.76012,37.2,"Peak9556","19_1"
1031.0165,515.1,"Peak9558","3_38"
1031.12909,392.4,"Peak9559","4_23"
1031.49201,507.4,"Peak9560","49_32"
1031.62971,398.4,"Peak9561","17_29"
1031.69858,418.9,"Peak9562","17_31"
1031.79876,36.1,"Peak9564","26_1"
1032.13696,397.5,"Peak9565","17_29"
1032.45027,36.5,"Peak9566","33_1"
1032.57563,503,"Peak9567","47_29"
1032.63832,398.5,"Peak9568","17_29"
1032.70101,419,"Peak9569","17_31"
1032.76372,37.5,"Peak9570","33_1"
1033.07103,506.3,"Peak9571","47_29"
1033.14004,399.2,"Peak9572","17_29"
1033.2718,37.7,"Peak9573","33_1"
1033.57935,503.8,"Peak9575","47_29"
1033.64213,400.6,"Peak9576","19_28"
1033.70491,423.7,"Peak9577","17_31"
1033.77084,39.8,"Peak9578","19_1"
1034.06919,505,"Peak9580","3_37"
1034.1383,400.9,"Peak9582","4_24"
1034.20113,470.3,"Peak9583","3_35"
1034.54052,40.7,"Peak9586","3_1"
1034.57824,503.7,"Peak9587","47_29"
1034.62854,38.8,"Peak9588","45_1"
1034.69141,39.1,"Peak9589","13_1"
1034.77316,37.8,"Peak9591","24_1"
1035.04363,503.4,"Peak9593","47_29"
1035.5471,511.9,"Peak9595","47_29"
1035.57858,506,"Peak9596","47_29"
1035.63525,344.2,"Peak9597","50_21"
1035.69192,398.8,"Peak9598","50_25"
1036.18326,41.5,"Peak9600","3_1"
1036.40385,40.6,"Peak9601","47_1"
1036.53624,39,"Peak9603","45_1"
1036.70018,400,"Peak9606","22_29"
1036.77586,37.1,"Peak9607","13_1"
1037.2806,38.5,"Peak9612","3_1"
1037.53311,504.3,"Peak9613","47_29"
1037.64992,373.7,"Peak9614","17_27"
1037.77939,37,"Peak9616","19_1"
1037.91204,502.8,"Peak9617","47_29"
1038.02576,507.6,"Peak9618","2_41"
1038.15214,367.3,"Peak9619","24_24"
1038.17742,42.8,"Peak9620","24_1"
1038.24694,505.7,"Peak9621","47_29"
1038.39865,39.5,"Peak9623","19_1"
1038.48716,39.7,"Peak9624","29_1"
1038.53774,506.5,"Peak9625","47_29"
1038.65473,380.2,"Peak9627","17_28"
1038.70848,39.3,"Peak9628","37_1"
1038.78438,38.6,"Peak9629","11_1"
1039.02478,508.1,"Peak9630","47_29"
1039.67049,369.8,"Peak9635","50_23"
104.01571,532.6,"Peak79","37_33"
104.03637,326.2,"Peak80","19_22"
104.07,377.2,"Peak81","2_29"
104.07001,45.8,"Peak82","3_1"
104.10641,43.7,"Peak83","49_1"
1040.08861,524,"Peak9636","47_30"
1040.17734,40.1,"Peak9638","19_1"
1040.29143,38.9,"Peak9640","19_1"
1040.66554,380.2,"Peak9641","50_24"
1041.09061,522,"Peak9642","47_30"
1041.24929,37.4,"Peak9643","3_1"
1041.67472,370,"Peak9645","47_20"
1042.01145,540.8,"Peak9647","42_41"
1042.17669,39.5,"Peak9649","50_1"
1042.18305,417.3,"Peak9650","19_29"
1042.25297,38.9,"Peak9651","19_1"
1042.57089,42.7,"Peak9654","27_1"
1042.68538,388.9,"Peak9655","17_29"
1042.79352,37.5,"Peak9656","47_1"
1043.13397,400,"Peak9659","19_28"
1043.2963,37.6,"Peak9660","19_1"
1043.70387,414.1,"Peak9662","3_27"
1044.03521,499.2,"Peak9664","24_32"
1044.13719,391.6,"Peak9665","17_29"
1044.57077,41.4,"Peak9667","27_1"
1044.60904,362.6,"Peak9669","3_23"
