"","x"
"128.99145_172.7",1337
"129.06925_506.2",528
"129.09025_169.4",393
"129.10174_179.3",897
"129.10968_376.8",1707
"129.12665_262.4",405
"129.49087_177.1",1075
"129.95396_498.9",303
"129.97857_38.3",1016
"129.99149_258.2",209
"130.00716_209.8",317
"130.04924_46",291
"130.06437_134.5",368
"130.06455_528.5",522
"130.0856_47.5",407
"130.0856_558.1",456
"130.12187_101.1",410
"130.15841_354.5",638
"130.21002_369.1",293
"130.52096_376.7",250
"130.71394_410.5",704
"130.99291_292.7",244
"131.01085_191",364
"131.02275_310.1",439
"131.06166_357.4",391
"131.06903_129.8",304
"131.08492_544.1",731
"131.08857_152",428
"131.11729_375.7",386
"131.16162_367.6",3512
"131.92914_440.5",453
"131.92919_41.7",495
"131.96113_543.7",202
"131.97493_417",306
"132.00279_294.9",1118
"132.04375_57.6",629
"132.05579_270.7",154
"132.06486_50.1",392
"132.08005_537.8",193
"132.10132_46.1",1024
"132.54256_167.5",229
"132.92916_58.9",511
"132.98655_47.5",430
"133.034_368",1314
"133.05965_131.1",1191
"133.0623_344.6",2029
"133.07547_526.7",665
"133.07905_53.8",939
"133.10461_45.5",349
"133.13277_154.6",239
"133.92628_511.3",212
"133.95933_561",299
"133.97348_34",3112
"134.04413_50.3",403
"134.05927_270.9",189
"134.07252_344.5",1138
"134.1055_49.8",637
"134.99089_38.5",1532
"135.00232_40.7",433
"135.04336_316.1",519
"135.06263_80.8",211
"135.07592_532.5",365
"135.09099_356.8",389
"135.10087_366.6",801
"135.12012_562.7",261
"136.02087_352.1",220
"136.04753_43.4",215
"136.04989_389.1",648
"136.06954_348.6",506
"136.07525_39.8",896
"136.11148_551.4",389
"137.02433_561.7",471
"137.04516_46.1",308
"137.05904_148.7",363
"137.07057_45.4",318
"137.07275_276.7",243
"137.07899_62.9",1267
"137.09522_537.3",701
"137.10673_556.5",586
"137.99816_354.2",3116
"138.01667_527",182
"138.05409_44.6",760
"138.06555_373.6",298
"138.10193_571.9",1734
"138.12713_550.1",288
"138.47928_43.5",823
"138.49587_30.9",1036
"138.51019_35.2",994
"138.90584_42.6",360
"138.95855_501.9",277
"139.01734_35.1",1025
"139.0276_35.3",288
"139.03826_293.3",522
"139.05067_76.8",602
"139.05284_515.3",959
"139.06893_58.2",2109
"139.08602_60.3",338
"139.08781_531.6",870
"139.10533_544.3",491
"139.11107_244.3",353
"139.49642_252.1",395
"139.98722_396",172
"140.01019_50.2",147
"140.02052_267.6",244
"140.02434_36.9",276
"140.06762_44.4",489
"140.07224_56.3",328
"140.1064_561.8",431
"140.1428_189.4",180
"140.87065_55.9",618
"140.90288_42.7",387
"140.95064_397.8",229
"140.99046_399.9",311
"141.00586_35",205
"141.01334_35",266
"141.05356_245.9",980
"141.07551_56.4",726
"141.09033_374.3",926
"141.10132_260.2",287
"141.1017_568.7",207
"141.12667_278",392
"141.51572_252.1",582
"141.98267_397.5",239
"142.06447_45.7",338
"142.07716_505.5",272
"142.08548_231.1",296
"142.09676_194.5",376
"142.12198_366.9",622
"142.15852_562.6",1092
"142.8687_50.8",1694
"142.89999_43.8",258
"142.93784_57.7",1350
"142.9474_46.4",1053
"142.96065_562",367
"142.98457_401",398
"143.00163_40",444
"143.01008_277.7",345
"143.03876_214",261
"143.06956_236.8",447
"143.08157_263.1",398
"143.08502_505.6",667
"143.10599_375.9",757
"143.11723_260.4",472
"143.12521_258",419
"143.16193_250.1",292
"143.95844_518",348
"143.98021_397.5",619
"143.99609_211.3",422
"144.04211_188.7",156
"144.06471_253.5",330
"144.08012_47.8",414
"144.0802_516.7",604
"144.10126_47.1",402
"144.10145_559.5",347
"144.13757_512.7",543
"144.95622_167.8",338
"144.9678_560",254
"144.98146_556.4",558
"145.03456_224.2",309
"145.08423_46.2",1454
"145.10461_45.7",536
"145.13325_204.7",519
"146.02634_53.4",1186
"146.036_165.9",1246
"146.05932_394.2",469
"146.0805_518.7",468
"146.16489_38.6",403
"146.49889_35.1",354
"146.96396_541.5",549
"146.97957_559.9",1288
"147.0305_250.1",432
"147.06265_153.4",579
"147.09094_566.4",584
"147.11624_519.5",291
"147.12016_541",2122
"147.51565_42.4",1115
"147.93023_569.1",404
"147.98287_563.7",1180
"147.99875_34.6",1867
"148.00296_46.5",473
"148.01781_187.8",277
"148.04057_60.8",371
"148.0597_46.8",280
"148.07476_553.8",416
"148.07504_131.4",230
"148.08618_554",287
"148.11155_533.3",265
"148.48198_36.9",1371
"148.53837_113.3",1181
"148.93462_41.6",332
"149.02265_391",1068
"149.04406_569",808
"149.05889_152.8",521
"149.08153_457",234
"149.09542_548.8",296
"149.10664_564.4",709
"149.11636_238.9",334
"149.13137_547.8",435
"149.9299_562.4",574
"149.95462_82.3",415
"150.01342_261.8",395
"150.02578_240.6",215
"150.05707_50.6",329
"150.0672_246.7",189
"150.09059_252.3",317
"150.11007_528.4",209
"150.12703_567.5",474
"150.93166_41.6",286
"151.00467_31.6",966
"151.01527_30.9",390
"151.02338_87",1585
"151.02353_461.8",241
"151.03448_195",926
"151.06066_47.9",3965
"151.07462_254.8",390
"151.09598_360.1",229
"151.11109_367.4",697
"151.12228_566.3",957
"151.90732_74.8",1190
"151.94934_91.9",420
"151.98968_489.7",282
"151.98997_49",515
"152.01557_270",604
"152.02142_41.6",198
"152.03548_36",352
"152.06142_291.6",1506
"152.06971_454.1",347
"152.09919_190.8",412
"152.10632_237.9",349
"152.11753_568.8",684
"152.14264_367.8",1285
"152.47651_143.5",542
"152.94655_39.1",713
"152.99423_392.6",1230
"153.03221_36",332
"153.0539_288.4",476
"153.06525_510.9",1053
"153.07593_50.9",816
"153.09037_454.8",369
"153.10272_245.1",258
"153.1267_374.3",707
"153.94806_85.8",485
"153.98168_408.5",286
"154.00439_33.5",883
"154.02107_48.6",1029
"154.03547_35.3",333
"154.0558_44.5",246
"154.06858_47.8",802
"154.12195_372.4",739
"154.15835_371.1",472
"154.87974_43.1",463
"154.90669_101",2263
"154.96616_382.5",392
"154.98953_390.3",760
"155.00754_258.4",321
"155.0459_298.3",277
"155.08489_505.5",555
"155.1059_378.6",1100
"155.12843_380.2",218
"155.14244_338.1",2171
"155.15369_555",1372
"156.04144_55.8",302
"156.07974_222.8",559
"156.09273_505.6",492
"156.1376_528.2",317
"156.17386_559.8",376
"156.87675_43.2",730
"156.98023_196",1275
"156.98335_78.5",1555
"156.98996_384.5",1187
"157.00511_58.6",648
"157.07546_47.2",1334
"157.08287_46",481
"157.10607_67.5",250
"157.10771_558.5",293
"157.12145_265.5",366
"157.13298_132.3",468
"157.98738_209.5",391
"158.0262_219",279
"158.05945_49.5",414
"158.06979_549.5",620
"158.08035_274.8",758
"158.09576_362.9",933
"158.11683_46.1",368
"158.15325_363",1086
"158.87395_43.4",199
"158.92122_46.7",1861
"158.92716_35.5",2715
"158.96066_555.3",386
"158.9635_38.9",304
"158.98035_63.4",1257
"158.98526_213.1",202
"158.99706_528.1",215
"159.0053_220.5",266
"159.02707_45.3",1095
"159.09101_47.6",582
"159.0996_157.3",467
"159.11197_377.2",510
"159.13805_287",1155
"159.15651_281.7",370
"159.96851_544.6",242
"160.05936_50.6",393
"160.09598_214.9",709
"160.13253_46",231
"160.18025_37.2",587
"160.52669_286.4",1276
"160.91614_80.2",238
"160.96789_39.1",784
"161.01152_37.1",574
"161.01779_63.2",1391
"161.05892_168.2",1096
"161.06303_54.1",382
"161.09502_269.7",496
"161.10673_562.7",443
"161.13174_321.3",422
"162.04961_41.1",780
"162.05231_235",415
"162.05498_55.5",448
"162.06714_246.8",240
"162.11149_520.7",364
"162.11169_40.8",255
"163.05355_293.6",315
"163.06075_49.8",521
"163.07459_394.9",323
"163.11101_342.8",373
"163.1151_44.2",271
"163.1223_554.7",418
"163.13224_366.4",343
"163.14754_553.2",377
"163.98977_408.2",126
"164.0289_48.6",302
"164.06859_143.6",957
"164.10622_549.4",327
"164.10625_249.2",389
"164.12562_529.3",255
"164.14255_71.6",1718
"164.1427_556",281
"164.90851_41.9",1098
"164.92919_45.1",724
"165.05392_46.9",472
"165.06916_294.9",675
"165.09051_457.2",419
"165.10151_569.4",384
"165.11124_258.6",431
"165.12667_287.7",431
"165.14613_548.9",206
"165.16292_299.1",306
"165.98216_385.5",283
"166.02526_82.7",916
"166.03006_356.6",578
"166.05237_46.2",254
"166.06391_35",492
"166.0855_42.6",585
"166.10674_217.7",558
"166.12182_531.3",633
"166.13311_547.3",341
"166.15827_374.8",509
"166.47415_66",463
"166.52634_89.2",3434
"166.90551_41.5",288
"166.92724_498.1",708
"166.97076_187.3",347
"166.98228_380.6",322
"166.98996_373.6",267
"167.01211_33.4",1020
"167.05569_47.9",313
"167.0707_276.7",448
"167.0889_44.9",691
"167.10582_372.8",1620
"167.14228_300",236
"167.29176_409.7",1035
"167.99783_376.2",722
"168.01528_135.1",590
"168.02105_552",579
"168.03328_280.4",1269
"168.05039_38.2",285
"168.08012_514.9",1459
"168.0901_59.2",1292
"168.10123_149.3",756
"168.10928_264.1",2302
"168.12226_180.7",471
"168.13747_252.5",380
"168.13766_558.4",375
"168.17382_272.8",277
"168.96014_65.2",1273
"169.00742_32.6",548
"169.01639_35.2",660
"169.03487_46.9",252
"169.04517_35.3",630
"169.05798_44.5",192
"169.07546_532.3",1296
"169.08497_252.8",295
"169.09612_54.7",325
"169.10047_508",227
"169.12157_363.1",358
"169.13306_539.1",401
"169.95866_30.3",638
"169.9968_132.4",442
"170.03026_258.6",186
"170.03918_41.4",208
"170.05928_59.5",379
"170.08028_520.7",365
"170.08048_141.9",2110
"170.09561_282.6",1314
"170.11689_472.9",735
"170.15323_542.4",426
"170.24506_393.5",567
"170.85359_43.3",960
"170.96026_42.1",543
"171.00499_39.8",777
"171.02056_64",457
"171.03355_199.8",275
"171.07635_260.8",560
"171.11615_505.2",381
"171.13722_353.6",355
"171.14848_352.5",445
"171.95871_50.1",786
"171.97698_545.4",203
"172.04995_315.7",1637
"172.0663_45.6",236
"172.07788_313.8",1467
"172.09583_276.8",310
"172.13245_475.7",573
"172.1518_372.9",1203
"172.85058_43.3",486
"172.95555_445.3",897
"172.95556_63.3",404
"172.97492_536.9",468
"173.07774_44.6",530
"173.10674_542.8",633
"173.11638_200.4",401
"173.13207_521.8",328
"173.15286_169",518
"173.91544_60.6",635
"173.95838_43",530
"174.01136_77.3",377
"174.03936_570.1",520
"174.09118_250.3",573
"174.11175_124.3",371
"174.12698_563.6",314
"174.14803_145.2",606
"174.51306_82.1",284
"174.55852_319.6",391
"174.93733_39.7",298
"174.95259_64.2",449
"175.00123_46.6",488
"175.01164_68.1",542
"175.01508_279",735
"175.03318_76.3",596
"175.07443_286.3",342
"175.08921_374.7",679
"175.11822_42.9",196
"175.1215_542.4",422
"175.13031_516.9",303
