"","x"
"360.14466_521.1",3593
"360.16895_477.5",510
"360.19993_530.5",426
"360.21947_364.5",523
"360.23416_302",360
"360.27238_325.2",366
"360.36067_567.5",466
"360.70251_47.9",379
"360.83829_41",310
"361.01414_54.8",1002
"361.13773_65.1",1155
"361.16643_487",492
"361.18099_520.9",338
"361.19924_123.6",178
"361.2335_550.8",304
"361.2695_456.5",496
"361.27625_210.1",244
"361.30858_482.9",169
"361.36423_409",417
"361.72968_97.4",2024
"361.84961_384.7",826
"361.95588_51.1",513
"362.16909_494.2",387
"362.18956_49.1",2076
"362.20255_124.5",296
"362.22068_74.5",2233
"362.24383_329.8",553
"362.24968_523.5",947
"362.26584_541.1",711
"362.2755_360.7",625
"362.69505_46.3",944
"362.72245_76.7",2335
"362.83572_42.9",282
"362.92477_38.6",441
"362.96475_158.7",1130
"363.03428_77.7",877
"363.13989_171",282
"363.16131_492.9",193
"363.17615_532.9",280
"363.21488_96.2",193
"363.24874_539.3",263
"363.30899_459.5",2077
"363.32436_506.3",192
"363.92834_38.1",572
"363.99518_69.5",355
"364.08255_322.1",615
"364.18644_532.4",380
"364.21812_104.3",189
"364.24684_264.8",261
"364.25474_556.8",786
"364.29229_381.9",410
"364.31286_471.7",1356
"364.32774_505.8",586
"364.69659_45.4",1091
"364.78618_41.6",181
"364.92907_37.9",265
"364.97716_53.1",1949
"365.13422_532.9",619
"365.15561_45.5",556
"365.19165_525.6",194
"365.22189_114.5",899
"365.2305_72.7",257
"365.31856_304.8",2172
"365.70117_95.4",2254
"365.99444_51.3",772
"366.01168_555.7",442
"366.15877_46.7",1009
"366.19525_530.5",1386
"366.22613_181.9",182
"366.23841_307.1",546
"366.26194_274.5",263
"366.31959_444.3",334
"366.37119_532.4",501
"366.78331_41.6",272
"366.86649_40.3",424
"366.91087_44.5",885
"366.96534_61.7",460
"367.01125_570.1",491
"367.02834_42.8",353
"367.13384_321.5",390
"367.17083_541.4",318
"367.18736_486.2",303
"367.20774_534.8",256
"367.26531_273.8",316
"367.28262_404.3",966
"367.31958_477.4",409
"367.50762_394.5",1019
"367.71892_286.5",689
"367.99086_535.6",421
"368.13719_333.8",655
"368.18324_519.5",657
"368.31504_555",418
"368.73635_95.4",2271
"368.78054_41.7",319
"368.86996_40.5",299
"368.99607_58.9",317
"369.00837_48.5",585
"369.12349_443.4",953
"369.18048_380.1",3260
"369.238_510.6",637
"369.23826_95.4",1788
"369.28103_285",425
"369.29573_535.1",415
"369.74426_81",2431
"369.92297_35.8",361
"369.98773_537.5",457
"369.99422_51",338
"370.01104_49.1",593
"370.17652_49.6",1906
"370.18077_528.9",417
"370.22108_531.8",544
"370.2571_525.7",257
"370.29335_305.3",380
"370.33025_496.3",1441
"370.67823_52.3",1107
"370.73384_71.3",2108
"370.86708_40.7",229
"370.97934_56",298
"370.998_49.8",462
"371.22619_54.5",1681
"371.23542_100.4",1398
"371.25778_306.2",948
"371.29661_303.5",362
"371.31381_385.2",596
"371.32535_327.7",442
"371.99609_72.7",660
"372.06396_174.5",315
"372.17346_530.5",1560
"372.23664_535.4",246
"372.27321_528.4",388
"372.28821_438.6",323
"372.31743_142.2",1129
"372.34558_437.3",920
"372.7323_42.7",497
"372.88181_37.7",621
"373.21164_52",2150
"373.27212_318.6",463
"373.31231_321.9",324
"373.71352_50.7",457
"374.06103_168.9",394
"374.07841_530.3",366
"374.09577_570",424
"374.21519_525.3",1641
"374.25198_310.6",387
"374.27363_301.2",398
"374.31621_322.1",1065
"374.32481_321",872
"374.3399_346.5",435
"374.65699_420",1160
"374.73164_42.7",221
"374.81508_41.2",167
"375.01602_44.6",455
"375.07584_525.8",392
"375.09322_527.2",344
"375.22581_336.2",1337
"375.24889_557.5",173
"375.28639_485",424
"375.32391_483.9",235
"375.84531_408.9",435
"375.99187_108.9",228
"376.01921_46.5",480
"376.05833_178.8",275
"376.19159_513.3",344
"376.23151_525.9",388
"376.25226_445.1",363
"376.29095_355",2295
"376.35535_334.9",382
"376.81223_41.3",169
"376.92677_43.5",363
"376.99177_47.4",1037
"377.0142_46.6",468
"377.15537_534.8",366
"377.19248_533",271
"377.22809_528.5",195
"377.24962_97.1",2295
"377.26431_516.3",318
"377.32576_473.4",446
"377.3419_579.2",402
"377.75131_96.9",2286
"378.00008_56.3",210
"378.16367_51.7",836
"378.20713_412.2",265
"378.23492_557.7",513
"378.24201_430.3",279
"378.25489_89.7",2218
"378.74396_417.6",347
"378.75888_81.3",2347
"378.80941_44.2",1056
"378.89871_39.3",340
"378.92416_44.8",371
"379.03987_180.3",2324
"379.17105_537.9",245
"379.20757_535.2",305
"379.2096_79.8",1882
"379.22392_501.4",408
"379.22435_92.2",664
"379.24385_554.4",177
"379.31922_476.3",254
"379.72731_95.6",2193
"379.74562_421.1",1802
"379.90214_38.5",929
"379.98906_48.4",584
"380.11442_296",794
"380.20748_556.9",331
"380.2289_97.2",2182
"380.25437_329.6",579
"380.33544_452.3",422
"380.73441_84",2027
"380.7601_41.7",1224
"380.89711_40.5",249
"380.96317_54.4",231
"380.99029_55.7",1159
"381.02395_44.2",447
"381.14932_312.3",237
"381.17008_481.2",812
"381.18661_538.6",185
"381.19862_50.8",2208
"381.21103_559.2",501
"381.22246_563.6",414
"381.25755_329.6",526
"381.31337_253",734
"381.33499_502.8",304
"381.70061_52.6",426
"381.72518_50.9",624
"381.98443_52.7",734
"382.02723_46.2",1121
"382.04286_569",449
"382.15302_314.4",354
"382.16901_482.1",489
"382.20265_546.4",449
"382.23647_87.5",1164
"382.27003_339.1",913
"382.29359_336.6",313
"382.31491_361.8",5452
"382.33491_504.2",784
"382.76396_42.1",387
"382.88538_42.2",376
"382.92533_505.2",278
"382.94703_43.6",386
"382.98832_48.9",394
"383.0353_136.1",2491
"383.11456_45.8",309
"383.1655_492.6",824
"383.20401_528.3",621
"383.24409_80.7",2106
"383.26636_109.2",2147
"383.2733_339.5",847
"383.31213_525.6",336
"383.32926_319.5",390
"383.74287_93.2",2117
"383.96345_46.6",699
"383.98147_66.5",660
"384.16865_478.6",759
"384.20249_49.5",2070
"384.23365_75.7",2256
"384.27244_559.9",776
"384.30941_488.7",219
"384.34545_557.5",390
"384.51698_411.7",144
"384.70431_49.9",876
"384.7354_77.4",2245
"384.76115_41.9",254
"384.84381_40.9",349
"384.85147_412.7",232
"384.94396_43.7",269
"384.9683_49.3",347
"384.98588_48.3",3011
"385.03436_49.7",3864
"385.16567_480.7",640
"385.1809_506.5",546
"385.23717_77",2727
"385.24691_337.6",838
"385.27211_357.8",613
"385.29064_457.6",1018
"385.30465_427.8",425
"385.31176_311.7",524
"385.74678_407.8",925
"385.90051_35.7",436
"385.96176_49",658
"385.9896_60.5",181
"386.16896_481.3",582
"386.18255_517.2",361
"386.25218_535.1",327
"386.27552_358.3",329
"386.28813_269.3",338
"386.30796_426.4",797
"386.32521_551.8",265
"386.71302_43.2",541
"386.84119_40.8",894
"386.92335_38.2",1005
"386.94137_43.5",538
"386.97063_58.9",398
"387.03915_55.8",539
"387.14085_481.2",750
"387.16115_481",844
"387.17842_310",911
"387.19142_335",463
"387.25111_298.8",281
"387.32028_292.2",504
"387.7144_95.3",2186
"387.97408_51.5",633
"388.18174_310.1",1149
"388.19466_334.7",392
"388.21613_96.2",2297
"388.23124_526.4",363
"388.25258_49.1",2826
"388.26905_552",349
"388.30392_286.5",182
"388.3923_566.1",411
"388.71024_43.1",430
"388.72245_76",625
"389.00471_501.6",610
"389.13447_43",275
"389.17717_502.6",452
"389.18953_525.3",366
"389.19674_540.3",305
"389.22812_542.5",491
"389.26687_318",340
"389.30728_283.7",191
"389.33991_507",450
"389.39616_514.4",581
"389.71224_53.2",1943
"389.73282_275.1",258
"389.97156_59.8",670
"390.12205_505.7",294
"390.21013_515.8",404
"390.247_321",354
"390.27016_323.6",308
"390.70732_43.2",467
"390.74952_97",2270
"390.75595_439.3",1328
"390.79414_41.3",287
"390.98663_44.4",396
"391.06556_65.5",279
"391.10712_420",262
"391.17131_538.3",278
"391.2073_539",188
"391.24426_517.7",136
"391.2512_97.4",2330
"391.28269_388.8",331
"391.31969_476.6",330
"391.34002_536.8",591
"391.35541_528.7",1155
"391.75885_88.3",2308
"391.76708_99.4",1870
"391.98741_63.4",428
"392.10635_421.2",356
"392.18958_49.8",2074
"392.27769_285.9",601
"392.28583_389.5",1387
"392.31427_315.6",865
"392.69266_47.3",367
"392.70407_46.1",289
"392.74703_83.9",2289
"392.75588_425.4",680
"392.7934_41.4",306
"392.81214_34",887
"392.90068_43.7",400
"392.98345_44.6",244
"393.15015_534.1",603
"393.1864_532.6",657
"393.20731_51.5",1009
"393.21813_392.3",245
"393.24105_381.9",422
"393.24874_94.9",2333
"393.2594_560.8",461
"393.2957_528.3",361
"393.33488_477.3",257
"393.37112_497.3",397
"393.74535_97.7",961
"393.99491_56.2",269
"394.20625_357.8",371
"394.21111_47.2",1090
"394.22048_97.3",1169
"394.25979_552",1938
"394.29328_303.2",201
"394.32992_497.3",635
"394.35004_470.8",246
"394.79029_38.9",372
"394.87254_39.4",296
"394.89767_43.8",470
"394.98178_50.8",641
"395.15442_43.6",591
"395.16519_529.8",220
"395.22455_54.7",1729
"395.29632_303.4",206
"395.3139_554",367
"395.35053_517.4",330
"395.72643_50.9",668
"396.09504_529.5",330
"396.22018_544.9",507
"396.27265_293.6",481
"396.30886_313.3",233
"396.34549_545.7",366
"396.74197_42.1",405
"396.74704_383.5",2241
"396.87145_40.9",258
"396.89139_46.8",194
"396.9249_50.6",250
"396.9978_44.3",458
"397.09608_520.5",2426
"397.18144_543.5",299
"397.2138_533.7",369
"397.2413_101",2361
"397.29324_443.9",342
"397.30835_396.9",325
"397.32666_552.9",456
"397.98995_52.3",274
"398.217_535.2",661
"398.25216_526.9",367
"398.28814_560.5",222
"398.29615_443.3",251
"398.32463_333",289
"398.36141_498.7",427
"398.73892_42.2",467
"398.7438_440.2",4229
"398.75985_365.3",395
"398.85999_47.8",364
"398.92074_43.8",468
"398.97386_58.4",244
"399.01114_58.2",1274
"399.17107_510.7",2813
"399.20782_553.4",507
"399.2491_456.1",452
"399.26238_97.1",2298
"399.2915_341",1054
"399.30656_481.2",514
"399.32693_311.4",387
"399.34503_158.8",227
"399.76443_99.4",2304
"399.9772_56.5",257
"400.09554_193.6",316
"400.17651_50.2",1875
"400.21506_531.7",4540
"400.23077_561.1",393
"400.25205_412.3",502
"400.2674_556.5",398
"400.30405_473.6",122
"400.34071_468.9",279
"400.73609_42.2",354
"400.77054_87.5",2347
"400.82555_41",335
"400.91779_43.7",311
"400.97766_57.2",3298
"401.00594_79.9",1707
"401.17138_520.8",897
"401.26461_458",926
"401.34369_354.8",295
"401.74037_97",2181
"401.89521_44.7",2285
"401.97088_52.6",452
"402.09256_197.5",277
"402.13444_549.3",424
"402.23604_329.1",814
"402.2421_97.6",2295
"402.2836_534.7",344
"402.35604_355.6",240
"402.68688_43.4",473
"402.74832_79.4",2510
"402.8226_41.1",270
"402.90073_37",341
"402.91266_44.2",277
"403.00575_44.7",417
"403.16746_518.9",638
"403.21111_520.2",207
"403.2117_50.9",1754
"403.22428_259",1971
"403.23167_452.4",770
"403.24428_559.2",294
"403.25743_339.1",897
"403.28004_528.7",218
"403.31698_499.3",274
"403.35559_513.2",501
"403.71341_52.5",217
"403.73811_51.2",399
"403.74444_439.2",428
"403.96613_47.4",792
"404.00801_43.5",348
"404.04474_47.8",1593
"404.20482_310.1",770
"404.22693_540.5",321
"404.26207_315.6",517
"404.31873_510",1030
"404.68408_43.2",388
"404.81674_30.8",401
"404.89813_39.9",223
"404.96982_49.4",194
"405.18646_531.6",292
"405.2079_309.7",662
"405.22308_532.6",272
"405.24109_85.8",756
"405.25926_519.4",255
"405.2804_100.1",2407
"405.29563_507",286
"405.33487_492.8",232
"405.37083_571.7",615
"405.74842_440.6",423
"405.75477_92.3",1754
"405.94568_46",720
"406.03987_54.6",679
"406.13699_423.5",1428
"406.2156_49.9",2107
"406.24681_76.7",2230
"406.34851_480.1",1201
"406.68112_43.3",652
"406.71744_50.3",2339
"406.74834_74.8",2197
"406.77073_41.6",358
"406.94979_46.2",793
"407.04359_50.5",532
"407.11435_266.3",4162
"407.16596_539.7",527
"407.20208_534.9",256
"407.24801_419.4",324
"407.24989_80.2",561
"407.27528_565.4",362
"407.31361_477.9",261
"407.33489_450.8",2081
"407.34985_494.4",784
"407.65373_480.9",654
"407.94368_48.1",498
"408.20559_540.9",697
"408.25433_448.7",311
"408.3068_556.9",280
"408.67831_43.4",642
"408.76798_41.6",336
"408.78862_453",781
"408.87429_44.1",243
"408.91769_37.5",414
"408.95477_50.2",598
"409.14737_246.4",226
"409.16012_310",796
"409.18164_45.6",1063
"409.19543_101.9",1656
"409.21776_538.6",721
"409.23479_75.5",591
"409.25409_508.4",181
"409.30407_405",1409
"409.32959_474.3",332
"409.34055_320.3",620
"409.36662_509.8",284
"409.72732_97",2197
"410.15066_246.3",596
"410.16346_309.7",665
"410.18495_46.8",1752
"410.22898_97.5",2118
"410.28805_279.4",267
"410.34617_429.3",1245
"410.36398_478.1",703
"410.7352_79.4",764
"410.76071_369.3",605
"410.7649_41.6",350
"410.85439_40.9",313
"410.91527_37.1",1123
"410.97707_49.4",1012
"411.09161_414.9",390
"411.17979_46.8",1483
"411.26263_359.1",575
"411.30984_554",376
"411.31992_439.6",579
"411.34521_489.8",403
"411.35598_320.5",665
"411.7251_51.3",650
"411.74578_275.3",2002
"411.85853_39.1",1052
"412.20504_89.6",1071
"412.24682_237.3",354
"412.268_544.1",254
"412.28338_211.9",667
"412.30378_569",280
"412.32332_438.6",724
"412.34052_474.9",299
"412.37689_481.3",474
"412.71573_42.3",857
"412.76247_90.4",2255
"412.77677_360.8",303
"412.85299_40.1",291
"412.9717_44",411
"412.98943_50.8",355
"413.13496_267",272
"413.2645_519.6",385
"413.26451_56.4",298
"413.30351_509.6",1768
"413.32194_533.1",687
"413.36486_491.4",1014
"413.77007_81",3902
"413.7799_97.5",2072
"413.97477_46.7",695
"413.99279_52.3",1265
"414.07482_188.6",348
"414.20232_50.8",2087
"414.24639_562.9",522
"414.26632_519.6",2247
"414.26797_55.4",1507
"414.28318_536.9",1957
"414.29829_293.1",580
"414.31976_490.7",324
"414.33444_90.9",2085
"414.35609_421.1",180
"414.70747_403.5",3836
"414.70835_44.4",284
"414.75994_82.9",2283
"414.84866_41.4",531
"414.86655_39.6",165
"414.89452_44.3",329
"414.96956_45",420
"415.03523_530.6",303
"415.13158_367.5",3831
"415.15047_304.2",433
"415.19483_316.5",935
"415.20977_345",249
"415.25203_62.6",2055
"415.26106_103.1",2500
"415.30153_276.8",557
"415.32234_449",471
"415.75773_98.4",2272
"416.00047_62.5",338
"416.07185_184.8",377
"416.21301_346.8",191
"416.22619_534.5",288
"416.25525_60.2",2515
"416.26275_536",315
"416.28301_49",5856
"416.29968_525.6",259
"416.31404_350.3",331
"416.3351_306.4",582
"416.37182_177.5",281
"416.7101_42.3",1424
"416.75834_424.4",1451
"416.79952_41.3",364
"416.89167_44.2",390
"417.00075_46.9",444
"417.21647_348.5",423
"417.23777_51.1",2181
"417.29596_524.3",367
"417.31789_351.3",366
"417.3338_449.4",1547
"417.37112_524.4",636
"417.73941_51.2",2202
"417.87443_39.1",644
"418.06995_190.3",650
"418.2082_531.3",478
"418.2414_545.3",515
"418.27875_524.7",372
"418.32074_348.4",688
"418.33806_429.8",989
"418.66071_43.6",639
"418.7073_42.5",567
"418.79664_41.2",268
"418.87842_37.2",295
"418.88798_50.6",1247
"418.97968_45.2",437
"419.20184_531.4",302
"419.23895_532.5",1335
"419.24914_397.6",234
"419.27492_512",369
"419.31133_542.2",173
"419.35101_565.2",335
"419.75404_420.9",144
"419.94006_47.7",722
"420.15705_63.3",335
"420.25442_562.8",807
"420.27834_443.3",351
"420.30902_314.7",215
"420.31837_497",278
"420.33065_503.1",2234
"420.65791_43.5",468
"420.76192_419.6",222
"420.79384_41.2",369
"420.88323_39.3",344
"420.95584_55.8",203
"421.1618_61.3",329
"421.17771_515.3",878
"421.20583_55.4",2234
"421.21771_536.2",230
"421.25492_549.7",233
"421.27567_99.7",2296
"421.31237_319",935
"421.36589_505",289
"421.76604_449.7",192
"421.77745_100.5",2303
"421.88671_41.1",1180
"421.91928_46.5",669
"421.95906_55.6",194
"421.98972_59.5",269
"422.18952_50.4",818
"422.28075_91.8",2281
"422.32446_323.5",286
"422.38132_562.1",440
"422.65511_43.5",800
"422.74459_41.6",315
"422.78301_90.7",2337
"422.88031_39.5",202
"422.92656_48.8",946
"422.99315_56.2",264
"423.19707_539.9",144
"423.23336_537.9",675
"423.24928_510.3",242
"423.25028_90.1",374
"423.28299_78.6",2617
"423.32783_327.2",279
"423.3452_477.9",206
"423.38138_562.4",576
"423.75345_98.5",2165
"423.91741_50.3",454
"423.99386_59.2",670
"424.25437_95.8",525
"424.30337_319.3",202
"424.34023_352.7",226
"424.36145_448.1",560
"424.65209_43.6",505
"424.74172_41.6",336
"424.7644_446",202
"424.89537_37.9",469
"425.1338_309.6",304
"425.17551_533.4",668
"425.21285_557.4",496
"425.22465_51.2",1926
"425.24653_85.3",407
"425.26248_81.6",2063
"425.28532_512.3",422
"425.34367_339.7",224
"425.36353_459.7",341
"425.72653_51.2",984
"425.75112_51.5",588
"425.89852_37.5",201
"425.93411_55.9",2047
"426.11173_299.5",534
"426.24448_438.9",2436
"426.25293_51.5",2895
"426.2596_331.2",489
"426.28344_522.2",244
"426.29573_300.5",678
"426.31961_564.3",611
"426.35598_363.7",231
"426.3921_501.2",637
"426.70654_376.5",0
"426.7389_41.7",267
"426.82832_40.4",154
"426.93256_464.2",704
"427.02911_44.9",619
"427.06549_430",1716
"427.15768_246.9",293
"427.24368_491.4",404
"427.2628_331.5",584
"427.27024_82.9",2813
"427.29338_97.9",1809
"427.32268_290.4",612
"427.33729_560.7",983
"427.35458_543.6",524
"427.71502_420.6",251
"427.7954_100.8",777
"427.83209_41",471
"427.93168_56.7",3065
"428.02185_47.5",380
"428.10843_297.5",325
"428.16102_247",229
"428.22474_530.1",343
"428.22857_50.3",1912
"428.25978_77.8",2210
"428.28345_86.2",2088
"428.29907_510.4",269
"428.33526_497.1",284
"428.36205_372.6",242
"428.37134_429.5",235
"428.68981_42.5",615
"428.73104_49.4",744
"428.76145_78",2210
"428.8254_40.9",194
"428.90824_160.7",723
"428.94532_45.1",286
"429.11022_227.2",562
"429.20801_556.9",560
"429.23764_72.1",347
"429.23885_527.8",297
"429.2521_491.9",693
"429.25901_489.3",494
"429.26304_75.2",867
"429.2869_86.4",2221
"429.29817_353.3",475
"429.31684_451.9",377
"429.37405_395.3",493
"429.74526_447.3",478
"430.08688_570.1",419
"430.10442_218.5",274
"430.20956_575.7",2936
"430.24128_560.5",1005
"430.27827_527.3",261
"430.31483_541.1",487
"430.35075_488.5",753
"430.37698_468.4",1164
"430.38682_385.7",899
"430.68715_42.6",1074
"430.74636_559.7",2301
"430.82377_42",292
"430.88643_135.2",204
"430.91193_38.7",353
"430.94545_367",573
"431.06626_345.4",908
"431.08394_541.3",593
"431.20774_94.7",947
"431.2149_338",940
"431.24096_243.3",719
"431.24224_555.1",249
"431.27657_562.1",356
"431.29645_206.8",1625
"431.31178_565.8",285
"431.34827_510.2",346
"431.38435_554.3",408
"431.6997_416.1",1708
"431.74031_98.6",2204
"431.75236_443.7",208
"431.91547_38",367
"432.24229_99.5",2205
"432.25628_507.3",254
"432.27863_49.3",464
"432.28248_532.3",1360
"432.29277_555",522
"432.31619_409.6",361
"432.59541_56.2",610
"432.6847_42.6",317
"432.77314_40.5",1644
"432.88325_156.8",204
"432.91605_36.9",368
"432.93989_65.7",526
"432.97392_45.7",429
"433.06927_91.7",851
"433.21797_543.3",430
"433.23957_325.4",2052
"433.26342_429.6",2543
"433.29043_513.4",248
"433.36516_498.7",670
"433.73751_51",1396
"433.76477_439.4",675
"433.97666_44.8",876
"434.20581_316",404
"434.21796_97.6",2404
"434.24135_341",788
"434.26877_534.3",353
"434.29365_556.7",1087
"434.31554_299.8",614
"434.3251_368.6",1842
"434.33178_476.5",501
"434.63482_45.1",425
"434.68789_44.4",361
"434.77524_99.2",2261
"434.85231_38.6",541
"434.95169_46.2",424
"435.19707_537.7",318
"435.20887_303.3",1492
"435.23325_537.2",282
"435.26983_534",232
"435.28792_522.2",687
"435.29122_99.8",2377
"435.30601_503.1",244
"435.38042_519.5",811
"435.79438_104.7",2237
"436.21601_52.4",2025
"436.25152_458.4",426
"436.27947_382.2",509
"436.29415_96.3",2090
"436.3397_190.2",409
"436.63094_43.2",364
"436.71712_50.2",1679
"436.77227_86.9",2577
"436.85679_39.2",1408
"436.93094_57.1",242
"437.17702_539",468
"437.19164_346.5",206
"437.21262_538.5",385
"437.22358_533.3",304
"437.2337_45.5",1911
"437.24829_536.1",847
"437.27424_95",3274
"437.27434_488.1",1768
"437.28319_381.7",337
"437.34707_311.7",1366
"437.36067_487.2",370
"437.39724_560",487
"437.76443_418.4",336
"437.76876_100.8",1761
"437.86077_41.9",357
"437.93348_55.8",887
"438.19448_342.9",352
"438.23837_48",1946
"438.31913_307",410
"438.35463_378.7",222
"438.37706_459.8",839
"438.62861_43.1",403
"438.71887_43.3",771
"438.85433_40.3",406
"438.9099_47",825
"438.98287_43.2",556
"439.13409_263",651
"439.19124_539.7",2856
"439.19842_342.8",739
"439.22839_535.4",216
"439.25057_50.5",1967
"439.26729_329.8",749
"439.2993_400.6",432
"439.32166_301.2",3156
"439.33891_478.7",523
"439.36193_329.2",1086
"439.37596_501.2",253
"439.75192_52.7",2268
"440.21002_311.4",1307
"440.26246_530.4",389
"440.27503_288.9",548
"440.30167_101.5",1714
"440.33615_331",348
"440.37168_454.8",161
"440.40805_554.4",997
"440.62608_45",339
"440.71521_41.2",639
"440.84459_44.1",405
"440.86907_37.4",362
"440.9058_43.3",377
"440.97927_45.1",3500
"440.995_48.8",1890
"441.25932_498.9",263
"441.26742_100.5",2235
"441.27859_290.1",761
"441.29558_531.8",459
"441.31907_465.7",432
"441.33814_308",1277
"441.37493_395.5",2525
"442.01681_47.7",564
"442.15895_151.1",1347
"442.24131_535.1",768
"442.27778_527.8",712
"442.31446_513.6",257
"442.35081_503.2",231
"442.38736_470.8",428
"442.71289_41.1",257
"442.80263_40.6",411
"442.93647_53",344
"442.96987_93.3",671
"443.00164_45.8",579
"443.02815_419",901
"443.16074_547.9",473
"443.19724_480",367
"443.21883_490.2",1195
"443.2518_370.6",1047
"443.28892_101.1",2295
"443.31129_518",495
"443.3325_480",499
"443.35414_326.7",479
"443.71947_426.6",1027
"443.7899_101.4",2294
"443.98447_56.1",2184
"444.01452_48",346
"444.02866_421.1",602
"444.20199_52",399
"444.22174_514.4",507
"444.25686_518.1",525
"444.29039_101.8",2217
"444.32991_559.1",462
"444.36646_347.6",223
"444.67103_44.5",354
"444.70475_50.7",4487
"444.7065_416.3",1604
"444.76137_449.1",715
"444.79863_60.1",305
"445.11209_67.8",971
"445.208_421.6",528
"445.26864_421.7",1123
"445.29096_475.5",253
"445.32739_516.9",349
"445.36322_564",261
"445.40159_530.7",590
"445.76589_99.5",2148
"446.23708_529.1",549
"446.26791_100.3",2247
"446.30976_520.6",253
"446.32315_322.5",348
"446.66894_42.8",680
"446.77419_87.3",2700
"446.79738_40.6",527
"446.88482_38.7",355
"447.11501_570.1",432
"447.23763_54.6",1101
"447.26973_524.3",273
"447.30786_324.9",593
"447.34475_543.5",340
"447.38309_506",443
"447.73917_50.8",1686
"447.76423_51.4",1799
"447.88956_37.8",252
"447.93073_45.9",508
"448.11385_568.4",559
"448.14396_262.1",670
"448.21615_353.5",1129
"448.25752_450.6",2084
"448.29036_527.3",300
"448.30321_276.6",455
"448.34835_429.6",618
"448.66599_42.8",360
"448.74679_40.8",244
"448.88332_37.6",246
"448.94801_45.8",488
"449.01091_42.2",287
"449.11216_570.3",1833
"449.24889_536.4",203
"449.28534_524.5",385
"449.30693_252.3",607
"449.32171_509.1",305
"449.34363_338.5",1067
"449.39773_533.1",446
"449.92676_49.2",387
"450.15994_300.6",2309
"450.20049_315.2",1135
"450.24115_50.1",1749
"450.27277_78.8",2231
"450.29555_336.3",1401
"450.31926_263.2",424
"450.35491_349.1",205
"450.66204_42.7",292
"450.74331_47.1",307
"450.77411_107.3",1921
"450.92781_43.8",675
"451.15185_480.8",750
"451.19272_538.8",643
"451.22804_534.2",255
"451.26463_528.7",301
"451.277_52.9",1169
"451.29889_337.9",709
"451.32287_283.7",572
"451.33987_475.5",674
"451.35925_351.5",191
"451.37584_508.5",1981
"451.41292_563.9",657
"452.27543_345.4",916
"452.31169_430.8",234
"452.32583_301.1",1948
"452.37125_390.6",220
"452.39276_539.3",610
"452.66043_45.3",1334
"452.74232_41.1",267
"452.7496_41.2",337
"452.82969_41",240
"453.16486_347.3",525
"453.20756_45.5",1932
"453.24405_535.3",388
"453.27787_345.8",1218
"453.35541_472.7",595
"453.37416_371.1",779
"453.39194_520.6",342
"453.75408_100.1",2214
"453.83447_42",3944
"454.20915_48.9",783
"454.25526_103.1",2243
"454.28963_377.4",359
"454.31462_538.1",489
"454.35096_488.1",192
"454.38707_468.3",250
"454.69967_41.5",606
"454.82793_40.3",241
"454.88291_45.1",997
"454.9104_36.6",193
"454.9544_45.4",401
"455.18541_361.3",388
"455.20567_46.5",1613
"455.29559_384.1",297
"455.31129_531.5",168
"455.36956_546.8",683
"455.39105_399.7",207
"455.75077_53.8",1425
"455.77208_497.6",1467
"456.29754_382.1",405
"456.3664_469.7",352
"456.4027_464.6",235
"456.6974_41.6",471
"456.78778_102.5",2259
"456.81912_44.5",355
"456.8265_41.7",734
"456.8431_40.1",1068
"456.88_45.4",313
"456.95381_43.5",431
"457.01841_48.1",2482
"457.23076_357",342
"457.30417_101.3",2294
"457.3276_521.4",2188
"457.34789_535",434
"457.397_330.7",4110
"457.40665_464.5",154
"457.80575_103.9",2334
"457.95753_41",1039
"458.22859_51.1",1986
"458.27263_526.3",923
"458.30582_96.1",2269
"458.38213_488",265
"458.69347_41.8",444
"458.73062_50.8",922
"458.77515_40.8",3242
"458.78645_83.9",2228
"458.81422_81",2472
"458.87621_45.1",453
"458.91072_53.7",333
"459.24706_395.7",644
"459.27198_539.9",385
"459.27793_67.7",2121
"459.30592_559.7",228
"459.34748_440.5",979
"459.37881_565.7",1069
"459.78302_104.9",1006
"460.24902_394.8",216
"460.26395_330.8",5191
"460.27881_352.4",337
"460.31053_49.1",2452
"460.32575_321.5",358
"460.34868_449.7",257
"460.64475_42.9",259
"460.69145_43.5",618
"460.78048_42.3",429
"460.96432_42.3",347
"461.21265_539.3",457
"461.24938_548.2",474
"461.26195_452.1",214
"461.28521_526.8",199
"461.32178_516",164
"461.36095_444.9",371
"461.39697_512",445
"461.76558_51.3",1177
"461.94565_57",467
"462.17315_448.2",846
"462.19525_240.4",457
"462.25907_302.7",1253
"462.29557_385.4",339
"462.31454_102.7",2074
"462.33292_440.2",338
"462.33993_282.3",2008
"462.36352_500",237
"462.41333_441.1",228
"462.64235_42.6",263
"462.77586_42.4",185
"462.81623_103.4",2010
"462.85863_39",456
"463.02423_39.2",356
"463.22949_312.4",271
"463.26345_562.4",227
"463.30106_510.6",349
"463.33749_510",295
"463.37447_504",207
"463.41253_546.7",665
"463.86291_40.4",902
"463.90444_44.7",584
"464.0215_39.3",297
"464.12538_461.5",550
"464.18773_69.8",672
"464.23307_309",326
"464.28031_281.6",953
"464.31134_392",643
"464.33519_308.8",417
"464.35606_493.6",5089
"464.37083_200.4",261
"464.3711_504.7",703
"464.63963_42.7",244
"464.72857_40.9",294
"464.8592_41.4",392
"464.92169_44.8",1674
"464.98415_44.4",643
"465.12628_465.8",326
