"mz","time","rep1","rep2","rep3"
89.50452523,20.26753298,5822.430176,1517.459473,4017.033936
74.03352655,20.33633359,11495.09668,2885.46582,5123.094727
130.0078096,20.33633359,28718.48633,13018.02051,10432.30078
120.0235195,20.42650954,21402.63477,8015.725098,6614.47998
139.9630742,20.47049995,13969.10449,6741.202148,10474.8916
90.00841408,20.50013987,34339.19141,11037.42383,28590.93164
114.5582617,20.64695072,0,67553.42969,60848.50391
138.4799025,20.8649497,5164.355469,0,2525.968262
178.0397836,21.34754944,0,69552.66406,59120.17578
240.1649905,21.3894496,6593.795898,1449.227661,0
83.04000504,21.64030615,4436.790527,10635.37695,6948.020996
172.9770662,21.64049943,18353.34766,9032.006836,11159.19727
180.1354818,21.73019981,7243.962402,0,2223.390869
198.0006895,21.8269097,39020.46094,23365.08398,15489.61523
125.9861552,21.86373297,400012.25,75431.83594,95320.65625
89.50673856,21.9457763,670624.375,340125.3438,448690.3438
113.9635901,21.9457763,79186.07031,20243.32813,36181.36719
102.0150325,22.32680003,8420.206055,5210.630859,5009.976563
271.9162888,22.38367685,56213.5,42401.80078,35896.71484
98.51204881,22.39640967,85360.22656,46447.63281,75839.8125
102.5353976,22.52630965,358987.5,261920.9375,243354.9375
140.9614827,22.53240013,7388.438477,0,4236.355469
100.5099981,22.78063329,7793.208496,1280.573608,4019.958252
218.033261,22.78749943,0,13083.02148,2927.566162
73.53185455,22.84913317,257793.9688,32632.13281,72357.71875
88.50907535,22.939243,32730.94141,16152.94336,20705.60352
158.0027608,23.20233377,211242.7656,91363.54688,137067.3906
252.96206,23.23719978,41480.06641,9386.916992,16077.54883
89.00831146,23.34376653,18601.26172,2826.712402,9359.681641
104.0301356,23.43526681,101599.9453,51590.98438,56802.94141
96.01087089,23.94680023,6854.069824,0,3694.934082
232.9279346,24.24259949,5826.008789,4280.586426,3164.680908
87.08043145,24.76023356,5839.703613,2141.231689,1288.55603
81.52495373,24.80483309,7963.270508,1231.761475,2321.400879
158.0027589,25.15693283,226110.3438,88535.55469,141554.7656
81.51676438,25.24309985,9293.115234,1226.48584,2541.411377
