"HMDB"
"HMDB00005"
"HMDB00012"
"HMDB00034"
"HMDB00056"
"HMDB00058"
"HMDB00072"
"HMDB00086"
"HMDB00089"
"HMDB00095"
"HMDB00115"
"HMDB00119"
"HMDB00122"
"HMDB00123"
"HMDB00131"
"HMDB00132"
"HMDB00134"
"HMDB00148"
"HMDB00159"
"HMDB00162"
"HMDB00163"
"HMDB00167"
"HMDB00168"
"HMDB00175"
"HMDB00177"
"HMDB00182"
"HMDB00187"
"HMDB00191"
"HMDB00192"
"HMDB00195"
"HMDB00202"
"HMDB00215"
"HMDB00223"
"HMDB00224"
"HMDB00226"
"HMDB00235"
"HMDB00239"
"HMDB00243"
"HMDB00244"
"HMDB00251"
"HMDB00259"
"HMDB00263"
"HMDB00273"
"HMDB00288"
"HMDB00292"
"HMDB00296"
"HMDB00357"
"HMDB00379"
"HMDB00440"
"HMDB00446"
"HMDB00517"
"HMDB00562"
"HMDB00641"
"HMDB00687"
"HMDB00691"
"HMDB00696"
"HMDB00849"
"HMDB00883"
"HMDB00904"
"HMDB00929"
"HMDB01044"
"HMDB01051"
"HMDB01167"
"HMDB01185"
"HMDB01257"
"HMDB01336"
"HMDB01370"
"HMDB01389"
"HMDB01392"
"HMDB01401"
"HMDB01414"
"HMDB01488"
"HMDB01491"
"HMDB01514"
"HMDB01525"
"HMDB01548"
"HMDB02024"
"HMDB02035"
"HMDB02107"
"HMDB02210"
"HMDB02362"
"HMDB02649"
"HMDB02757"
"HMDB03224"
"HMDB03348"
"HMDB03373"
"HMDB03966"
"HMDB04327"
"HMDB05807"
"HMDB06055"
"HMDB32708"
"HMDB59655"
"HMDB59734"
